Gene,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
  1700034I23Rik,5.747,6.2336,5.8514,6.088,5.0662,5.6258,5.0875,5.057,6.0454,6.0857,4.0468,4.9472
  1700048O20Rik,8.3436,7.8512,8.5667,8.1884,7.4455,7.7278,7.5864,7.7508,8.2412,8.5617,8.0734,7.9782
  1700064H15Rik,5.7296,5.4683,5.4289,5.7067,4.8816,5.3192,7.0314,6.259,5.4188,6.1041,7.4309,6.1769
  1700066M21Rik,8.5365,8.6651,8.6776,8.622,8.2305,8.1295,8.9747,8.8885,8.7265,8.7524,9.2764,8.6151
  1700067K01Rik,5.4173,5.5659,5.4613,5.959,5.7802,5.0162,5.5321,5.5637,5.6592,5.7756,7.4777,6.3595
  1700073E17Rik,5.6391,5.2799,5.4929,5.1196,6.8493,6.8758,6.5335,7.2209,5.1302,5.0008,4.7429,4.2824
  1700092M07Rik,4.624,4.5461,4.925,4.7699,5.2804,5.9241,6.3285,6.3962,4.5478,4.4846,6.6057,6.1441
  1810009A15Rik,9.8241,9.5233,9.5996,9.1764,10.2625,10.1695,10.4516,10.5025,9.3717,9.5389,11.361,10.9271
  1810011H11Rik,7.5143,7.649,7.7286,7.1159,6.9929,6.7292,7.147,6.8429,6.9656,6.7574,6.6057,6.8206
  1810022K09Rik,9.8221,9.5096,9.7331,9.3719,10.5957,10.3179,10.6035,10.6355,9.6983,9.8231,11.5405,11.3731
  1810032O08Rik,8.0904,8.2055,8.1909,8.2169,9.3301,9.6301,9.9352,9.6822,8.4282,8.3878,10.2624,10.1993
  1810062G17Rik,4.2363,4.3949,4.2951,3.9673,4.4217,3.2738,4.0244,4.1706,4.1667,3.9432,2.3615,2.8589
  2010107E04Rik,9.4761,9.1591,9.5534,9.2132,9.5344,9.0743,10.4767,10.2604,9.5702,9.5235,10.7731,10.421
  2210408I21Rik,7.0282,6.6991,7.1273,7.3397,6.2302,6.3152,6.4904,6.5014,7.1103,7.3284,5.5279,6.1606
  2310022B05Rik,7.5345,7.5271,7.2711,7.6275,7.3057,7.296,7.228,7.009,7.4735,7.5468,8.0611,7.8262
  2310034G01Rik,3.9044,3.3499,3.9749,3.4131,5.3767,4.9293,5.3986,5.057,3.6474,3.3404,5.3379,5.3726
  2310039H08Rik,7.6549,7.4715,7.567,7.2715,8.2561,8.0596,8.8608,8.8807,7.6454,7.925,9.3105,9.2062
  2410002F23Rik,11.3181,11.4241,11.3399,11.2821,12.0585,12.2245,12.5004,12.5785,11.5049,11.5347,13.3409,13.0676
  2410015M20Rik,9.4708,9.2951,9.605,9.2112,9.772,9.3245,10.4088,10.3532,9.5979,9.4657,10.8997,10.4895
  2510009E07Rik,6.8214,6.3884,6.626,6.4036,6.7449,6.3491,6.0602,5.5243,6.1593,6.244,5.7879,6.209
  2510039O18Rik,10.7174,10.6356,10.7272,10.6308,10.3599,10.2855,10.7142,10.8145,10.6758,10.8421,11.3907,10.7434
  2610024D14Rik,6.0438,6.4662,6.4915,7.1072,4.8144,5.0981,5.969,5.3095,7.3486,6.5971,5.8462,5.1259
  2610318N02Rik,6.1261,5.4933,5.613,5.7958,7.7451,7.7659,7.9227,7.7678,6.0789,5.7047,8.38,8.7163
  2700049A03Rik,10.1801,10.2192,10.1365,10.2572,9.8134,9.8019,10.1127,10.1467,10.3503,10.3226,10.0339,9.8723
  2700081O15Rik,7.9278,8.1278,7.9893,8.7361,8.5421,8.5122,9.0247,8.8846,8.7212,8.9261,9.8306,9.6595
  2810004N23Rik,9.4537,9.3663,9.3568,9.201,10.6032,10.6707,11.002,10.8919,9.3183,9.4074,11.8721,11.3241
  2810408A11Rik,5.7981,5.7844,5.7762,5.6601,5.4669,5.4497,5.574,5.938,6.1277,6.4603,5.9022,5.7668
  2810459M11Rik,3.3862,4.2261,3.8824,4.4237,3.2271,5.0162,3.0163,4.2692,4.1667,4.0231,4.0468,4.2208
  3110009M11Rik,2.2158,2.4722,2.3153,2.5016,3.5905,5.0162,3.0163,2.3988,2.4728,2.2856,4.803,3.8657
  3110070M22Rik,4.4215,4.7257,4.557,4.8961,6.6128,7.2429,4.4415,5.5243,4.2277,5.1857,4.8607,5.723
  3110082I17Rik,7.4031,7.3671,7.4184,7.7384,9.5213,9.7072,9.5134,9.6018,7.4157,7.676,9.9682,10.2299
  3425401B19Rik,5.7813,5.635,6.0345,5.6361,6.0375,6.537,4.9025,5.057,5.8064,6.1041,4.6802,5.4006
  3830403N18Rik,3.9044,5.2212,4.4959,5.6836,4.0062,5.2492,5.3021,3.1849,4.6404,6.277,4.4739,4.089
  4921508M14Rik,3.9044,4.5461,4.0619,5.0847,3.2271,4.2574,4.5293,5.1112,4.8489,5.1857,3.7127,4.3415
  4921509C19Rik,2.4036,2.8274,2,2.5016,4.1218,5.1756,2,2.7108,2.4728,2.5238,2,2.8589
  4921528I07Rik,2.2158,3.1122,2.3153,3.0281,4.8144,5.2492,5.9047,5.7113,2.8283,3.0666,2.8908,3.8657
  4930402H24Rik,9.7131,9.9099,9.7788,9.9863,9.3687,9.3582,9.4015,9.4071,9.9315,9.6918,9.096,9.0752
  4930426L09Rik,5.5019,5.2799,4.6721,4.9359,5.2804,5.6258,5.7304,5.938,5.1927,6.0288,4.1429,5.3726
  4930432E11Rik,3.5542,3.1122,3.4382,3.9673,5.7802,6.5946,3.7598,3.6909,3.1133,3.3404,2.8908,3.3936
  4930432K21Rik,5.7296,5.635,5.362,6.1736,6.7628,6.8758,6.9383,7.2812,5.8651,6.3716,7.3425,7.867
  4930442H23Rik,5.7119,5.2212,4.7263,5.8797,5.2804,5.3192,5.6543,5.4422,5.0979,5.7985,6.5715,6.2404
  4930467E23Rik,2.977,2,2,2,4.9458,3.9396,2,2,2,2,2,2
  4930515G13Rik,2.5696,3.7327,3.1514,3.2958,3.4202,4.7381,2.4232,2.3988,2.6614,3.9432,2.3615,2.2671
  4930515G16Rik,4.9594,4.9946,5.0149,5.0489,4.3285,4.9293,4.8352,5.057,5.3381,5.2862,5.8745,5.3439
  4930519F16Rik,6.1127,6.6555,6.626,7.0267,6.1777,6.4145,6.5335,6.0252,6.6574,6.8369,6.464,6.0761
  4930523C07Rik,13.3224,13.3035,13.213,13.2609,12.4792,12.5291,12.6474,12.8144,13.3859,13.4526,12.9351,12.8314
  4930550C14Rik,2.8535,3.6461,3.1514,3.4131,5.1228,4.6321,5.5321,5.2624,2.6614,2.9073,3.5816,3.7828
  4930563I02Rik,2,3.1122,2,3.2958,3.4202,4.6321,3.241,2.9672,2,2.2856,3.2771,3.7828
  4930578G10Rik,2.977,3.2359,2.5739,3.0281,5.1773,5.0162,4.1405,4.1706,3.6474,2.9073,2.3615,3.5012
  4931406B18Rik,5.7296,6.0769,6.0769,6.6384,8.067,8.7076,6.1736,5.9077,6.1903,6.0669,5.6958,6.0229
  4931409K22Rik,2.2158,2,2,2.2725,4.1218,5.3859,3.4354,3.5411,2.2557,2.2856,3.8329,3.8657
  4931422A03Rik,6.7453,7.0505,6.626,7.063,6.2042,6.053,6.4904,6.6551,7.1022,7.071,6.6224,6.2247
  4932411N23Rik,7.4303,7.7614,7.7679,8.1676,9.5186,10.1671,7.9627,8.3496,8.2523,7.872,7.4213,7.9261
  4932416K20Rik,4.0799,4.8078,3.5627,4.3073,6.1507,6.5946,4.6121,5.0007,4.4488,3.9432,4.398,4.5055
  4932431P20Rik,2.5696,3.1122,3.1514,3.4131,5.0072,5.68,3.8981,3.9506,3.5553,2.9073,2.3615,2.6873
  4933406M09Rik,2.7186,3.5539,2.9833,2.873,4.6699,4.2574,3.241,3.374,3.2371,3.46,2,3.5012
  4933406P04Rik,6.0855,5.4933,5.4613,5.8384,5.849,5.68,6.8039,7.0512,6.1277,6.6609,6.2213,6.0409
  4933407L21Rik,5.9414,6.4662,6.5825,6.9218,6.798,6.7547,5.4445,6.3293,6.5893,6.1041,5.9561,6.0409
  4933430I17Rik,3.9653,3.8143,4.1439,3.8885,5.3294,6.3491,6.2531,5.9676,3.5553,3.5705,5.0211,5.5584
  5031439G07Rik,12.0322,12.0706,12.0675,12.4799,10.8569,10.8078,11.1694,11.3531,12.2895,12.4332,11.9899,11.5705
  5730507C01Rik,5.9862,5.8823,5.8514,5.9396,5.2804,5.3859,6.1461,5.7459,6.0622,6.0669,7.0143,5.9864
  5830411N06Rik,6.0718,5.8045,5.1401,3.8885,6.5104,6.7547,5.574,5.3095,4.9245,4.1706,4.9696,5.6779
  5830454E08Rik,5.7119,5.2508,5.7762,5.2514,4.8144,5.0162,6.5959,6.5414,5.5912,5.9286,5.9823,5.5584
  6030419C18Rik,4.0799,2.9768,2.9833,2.6992,6.6709,6.9658,6.5959,7.1834,3.5553,3.21,6.3477,6.5963
  6330409D20Rik,7.995,8.1555,8.0962,8.722,8.2176,8.1584,8.2672,8.1179,8.1496,7.904,6.936,7.1612
  6430548M08Rik,9.7761,9.6622,9.9453,9.8276,9.995,9.4701,9.4044,9.0839,9.1766,9.3112,8.2936,9.172
  8430408G22Rik,6.9625,7.1002,6.838,7.5139,6.8324,6.5661,6.0304,6.0252,7.4025,7.214,6.2859,6.8101
  9130208D14Rik,5.9862,5.635,6.2536,6.6623,5.2298,6.053,5.0284,5.1634,5.0648,5.6803,4.4739,4.6528
  9130401M01Rik,8.4513,8.4647,8.6214,8.508,10.6473,10.4718,11.2272,11.284,8.5704,8.6207,10.8561,10.2704
  9130409I23Rik,4.5857,5.16,5.4929,5.5102,4.0062,5.2492,4.4415,3.6909,5.0979,4.5932,5.1189,3.944
  9330132A10Rik,4.5059,4.9591,5.3273,6.1056,6.0667,7.1879,5.0284,4.6808,5.3381,5.6045,4.9162,5.5077
  9330161L09Rik,6.3708,6.306,6.1382,6.5387,5.51,5.68,6.3528,6.0805,6.2206,6.4887,6.7192,6.3012
  9530077C05Rik,5.7119,5.5659,5.8017,6.3749,4.8816,5.0981,5.4445,4.8174,6.265,6.584,4.3179,5.5077
  9930022D16Rik,5.1018,5.063,5.3273,5.6601,4.5918,5.0162,4.5293,4.8811,5.3381,5.8865,4.8607,4.6528
  9930111J21Rik1,12.7481,12.7763,12.7968,12.8438,11.9788,11.7847,12.2929,12.4156,12.8405,12.898,13.1728,12.7622
  A3galt2,5.6012,5.7639,5.9228,6.3457,7.8578,8.8969,7.458,7.0512,5.8651,6.1041,7.7689,7.2096
  A430078G23Rik,12.1512,12.6467,12.3265,13.0519,11.9061,12.1544,11.8424,11.9058,12.6981,12.6395,10.6228,10.4098
  A430089I19Rik,2,2,2,2,2,4.8369,2,2,2,2,2,2
  A4galt,7.0495,7.0589,7.3071,6.8918,7.008,6.9215,6.6161,6.7435,6.7745,6.5027,6.464,7.5157
  A530099J19Rik,7.0211,6.9814,7.3248,7.072,7.3889,8.0698,6.713,6.1074,7.0692,7.1263,6.3875,6.9305
  A630033H20Rik,9.9108,10.044,10.165,10.0374,8.5421,8.5122,8.8481,8.938,10.2952,10.3966,9.5353,9.073
  A730015C16Rik,6.0153,6.3884,6.3943,6.1736,5.51,5.68,6.118,6.2102,6.6009,6.2932,6.1991,6.0047
  A730046J19Rik,2.5696,3.2359,3.3019,3.9673,4.9458,4.3934,2.75,3.1849,3.1133,3.0666,3.0969,2.6873
  A730071L15Rik,4.1339,3.1122,3.3019,4.1808,4.9458,5.2492,5.7304,5.3993,4.3425,4.5399,4.546,4.8691
  AA414768,5.3504,4.7673,5.2179,5.0489,5.3767,4.1073,5.1442,5.4422,5.031,5.1857,4.1429,4.8283
  AA467197,3.9044,3.2359,2.7931,2.2725,3.5905,5.0162,4.8352,3.1849,2.2557,2.5238,4.546,4.2208
  AA986860,4.2849,4.0349,4.6157,4.4785,6.3055,7.3132,5.1442,4.9422,4.2862,4.3045,6.2647,6.209
  Aaas,9.5363,9.5711,9.4803,9.5116,12.8649,12.853,13.5105,13.6456,9.5746,9.6133,10.5719,10.2893
  Aacs,9.6588,9.8026,9.8825,10.0923,9.9566,10.1552,10.0639,10.1402,9.9327,9.9914,11.4203,11.229
  Aaed1,8.952,8.7966,8.8059,8.7248,8.8241,8.5197,8.8395,8.9077,8.7733,8.8294,7.5757,7.4701
  Aanat,5.8312,6.1097,5.7762,6.7203,6.8324,6.8988,6.7682,6.9208,5.976,5.9895,4.9696,4.6053
  Aars,11.3178,11.0856,11.1022,10.9703,11.9311,11.8431,11.9646,12.1497,10.8622,10.981,13.1216,12.8187
  Aarsd1,8.9707,9.0662,9.0111,8.9598,9.3028,9.2095,9.831,10.1089,9.0828,9.1133,10.7097,10.3217
  Aasdhppt,9.5587,9.5622,9.5665,9.5116,9.772,9.9388,10.4204,10.2498,9.6307,9.5557,11.4364,10.8699
  Aatf,10.4159,10.4595,10.4074,10.4087,11.6491,11.8556,11.8279,11.8159,10.3252,10.4299,12.6938,12.5247
  Aatk,6.5203,6.731,6.9333,7.3618,6.8493,6.5073,6.5754,6.0531,6.4427,5.865,4.803,5.6779
  AB124611,11.6097,11.5318,11.6751,11.4878,10.1964,9.7648,10.1821,10.1434,11.6309,11.6323,9.5638,9.8419
  Abca1,13.0534,13.2075,12.9432,13.0599,12.0421,12.4745,12.1969,12.0039,12.8732,13.0221,12.0508,11.4107
  Abca13,6.7453,5.8243,5.4289,5.187,5.6321,6.4461,6.0602,5.3095,5.2817,5.1145,5.3779,5.4551
  Abca2,10.528,10.7607,10.6936,10.9462,10.2797,10.3029,10.5349,10.7647,10.8195,10.7103,10.3904,10.3272
  Abca3,11.4892,11.6334,11.522,11.7453,11.1748,11.2555,11.2015,11.3254,11.5496,11.4528,10.5965,10.5604
  Abca6,5.5623,5.4933,5.4613,6.5894,5.5925,6.4145,5.8375,5.6758,6.2356,7.1532,4.6147,5.5584
  Abca7,11.4287,11.7168,11.4341,11.8002,10.7475,10.7103,10.669,10.8226,11.915,11.6555,10.5402,10.5162
  Abca9,8.2579,8.8411,8.5442,8.0322,8.1847,7.886,7.5657,6.8588,8.5467,7.6636,7.3015,7.882
  Abcb10,9.7803,9.9076,9.6636,9.6464,9.2781,9.2814,9.5766,9.8349,9.5389,9.5027,9.3812,9.0152
  Abcb1a,8.3859,8.5859,8.4098,7.6634,8.4175,9.0385,8.1613,7.8967,7.6454,6.7574,7.4498,7.4899
  Abcb1b,8.6544,8.6761,8.7216,8.2683,12.5259,12.6255,13.1021,13.1334,8.2375,8.087,9.9367,9.8458
  Abcb5,5.7813,6.3201,5.5542,6.5516,5.5925,5.8314,5.489,5.8128,6.6351,6.2932,5.3779,5.4006
  Abcb6,8.0488,7.8752,7.927,7.9856,8.6664,8.5851,8.9903,8.8962,7.8677,8.0398,9.7489,9.7192
  Abcc12,2,2,2,2,4.1218,4.8369,2.4232,2.3988,2.2557,2,3.4374,2.6873
  Abcc3,10.4602,10.5277,10.8876,11.1967,10.2258,9.6093,9.7602,9.4044,10.7819,10.5777,8.8794,9.9348
  Abcc6,2.4036,2.6607,2.3153,2,4.3285,4.6321,2.75,3.5411,2.4728,2.2856,2.3615,2.4924
  Abcc8,2.4036,2.4722,2.7931,2.2725,4.5918,4.8369,3.6067,3.8266,2.4728,2.5238,2,2
  Abcd1,10.9098,10.9578,10.9272,11.4595,10.1254,9.8879,10.3162,10.4509,11.2586,11.3703,10.2023,10.1973
  Abcd2,8.4566,8.3253,8.5021,8.4056,8.4288,8.2509,7.9627,7.7762,8.2189,8.0917,7.3526,8.0241
  Abce1,12.3536,12.1151,12.2179,11.982,13.0678,13.0595,13.371,13.4351,12.1161,12.1807,14.5233,14.0946
  Abcf2,10.6912,10.4956,10.66,10.4985,11.5008,11.6512,12.0044,12.0248,10.6348,10.6682,12.8255,12.3275
  Abcg1,11.8056,11.7379,11.7734,11.6399,10.8081,10.6453,10.5624,10.4311,11.4415,11.637,10.448,10.2883
  Abcg3,11.5726,11.631,11.9752,11.6641,10.9101,10.36,10.7397,10.6888,11.5559,11.4627,10.1323,10.6961
  Abcg4,5.1018,4.7673,4.0619,3.8051,4.5918,5.0981,4.6121,4.5299,3.1133,3.3404,4.9696,3.944
  Abhd11,8.8668,8.9958,8.8585,8.8155,9.5806,9.6941,10.3573,10.5176,9.0536,9.1292,10.7899,10.3916
  Abhd12,10.7717,10.7919,10.8299,10.8011,10.4148,9.996,10.5121,10.562,10.8071,10.9001,10.2784,10.2493
  Abhd13,10.507,10.4761,10.5364,10.4341,10.3211,10.3349,10.9282,10.9553,10.5818,10.6581,11.728,10.9976
  Abhd14a,6.58,6.1574,6.3774,6.088,8.5053,8.3122,9.1055,9.2196,6.2503,6.2932,8.6654,8.4999
  Abhd14b,7.5544,7.9718,7.4018,7.5139,7.2934,6.8524,7.5236,7.8337,7.6786,7.4198,7.1478,6.8615
  Abhd15,6.5203,6.5159,6.7359,6.6858,5.8822,6.3821,6.1461,6.3293,6.4298,6.325,5.8173,6.0229
  Abhd17a,10.3883,10.1667,10.3738,10.3919,9.5318,9.1674,9.9923,10.0955,10.5298,10.5603,11.3389,10.5858
  Abhd17b,10.988,11.2529,11.1649,11.3224,9.8113,9.7072,10.4275,10.2663,11.3394,11.3257,11.2013,10.5658
  Abhd18,9.9367,9.9923,9.8354,10.2434,10.012,10.2523,9.785,9.4861,10.0482,10.1387,9.1433,9.3171
  Abhd4,8.4244,8.2131,8.2843,8.2953,10.115,9.8618,10.5202,10.6098,7.8532,8.3183,7.2046,7.6445
  Abhd8,8.3464,8.1941,8.1217,8.1466,7.8908,7.6347,8.366,8.7069,8.2038,8.1901,8.7093,8.1657
  Abi3,10.9797,10.8487,10.8995,11.1115,9.9702,9.5917,9.5188,10.0425,10.9931,11.0888,10.315,9.8811
  Abi3bp,5.676,5.6573,5.2179,5.6836,5.1228,5.2492,5.5321,4.8174,5.4702,5.3495,5.631,5.6074
  Ablim1,14.1081,14.0329,13.9658,14.1158,13.5502,13.3373,13.4439,13.9411,14.0339,14.1009,13.4673,13.267
  Ablim2,5.747,5.7009,5.1401,6.0703,6.2302,6.9215,5.3512,5.1112,5.8651,4.7422,5.1189,5.5077
  Abtb1,9.702,9.7876,9.5795,9.916,9.5107,9.5043,9.8715,9.9132,9.9073,10.0862,8.8079,8.7764
  Acaa2,9.2637,9.1842,9.333,9.0931,8.7496,8.4117,9.2514,9.1404,9.3427,9.4585,8.9575,8.594
  Acaca,11.7306,11.663,11.7486,12.0495,12.8917,13.069,13.1731,13.1648,11.9211,11.8436,13.8878,13.6033
  Acacb,4.5464,5.4683,5.1401,4.3073,6.9929,7.55,6.8893,6.1852,5.5678,5.0397,7.2267,7.3743
  Acad8,7.2886,7.3328,7.3423,7.1999,10.5743,10.5135,11.4347,11.4203,7.4287,7.2967,8.1214,7.7735
  Acap1,12.9586,13.1414,12.9673,13.0822,11.7333,11.8505,11.7107,12.0406,13.2097,13.093,12.6379,12.1408
  Acap3,9.1437,9.1314,9.0934,9.3537,8.2936,8.2419,8.2284,8.0844,9.3078,9.2503,8.645,8.3782
  Acat1,10.514,10.207,10.4433,10.2882,10.0508,9.8441,9.9452,10.0373,10.39,10.4161,10.4562,10.2817
  Acat2,8.3915,8.1711,8.5175,8.5912,8.5265,8.5047,9.2055,9.0532,8.7422,8.5783,9.7735,9.4166
  Acat3,6.955,6.9089,6.7359,7.054,7.0524,7.3802,7.7323,7.6629,7.1103,7.1263,8.5735,8.0553
  Accsl,2,2,2.3153,2.2725,3.4202,4.7381,3.8981,3.8266,2,2.2856,2,2.4924
  Acd,9.455,9.2627,9.3132,9.5977,8.9585,8.9963,9.3021,9.3935,9.5101,9.7589,9.7792,9.4303
  Ace,8.3087,8.054,8.4015,7.8927,9.7742,8.6612,7.7042,6.794,7.814,8.6555,6.1304,7.9642
  Ackr2,9.4363,9.311,9.3308,8.5943,7.7178,7.5353,7.3293,7.8093,8.7422,8.4287,8.0047,7.8365
  Ackr3,8.475,7.9851,8.1518,7.2161,8.0305,8.7588,8.0394,7.8734,7.3959,7.6193,8.3551,9.1096
  Acod1,5.8475,4.7257,5.1796,2.873,4.9458,5.68,5.574,3.8266,2.6614,4.0987,2.8908,3.6013
  Acot1,6.0153,6.334,6.2719,6.1901,7.2934,7.2429,8.607,8.7756,6.4298,6.0857,4.8607,5.3439
  Acot4,3.6313,4.0349,4.7263,4.042,3.5905,3.9396,4.2479,3.8266,3.8931,3.6731,2.3615,3.0123
  Acot6,5.5623,5.8045,5.1401,5.429,6.5929,6.9438,7.2921,7.339,5.3924,4.4846,6.5541,6.3595
  Acot7,7.1512,7.0505,7.1373,6.8611,8.3539,8.3036,8.8003,8.869,6.5421,6.6483,10.2463,8.6061
  Acox1,9.8933,10.0248,10.011,10.2335,9.3803,9.2048,9.333,9.3293,9.9844,9.9988,9.2551,9.1801
  Acp4,5.9262,5.7432,5.4613,5.8384,7.1912,7.8151,6.97,6.7435,5.544,5.821,8.6285,8.1657
  Acp5,11.8191,11.7068,11.7922,11.8059,10.8242,10.5915,10.3131,10.2301,11.4702,11.6746,9.8197,10.1139
  Acsf2,10.9948,11.15,10.9601,11.4518,10.0026,9.7105,9.416,9.7606,10.8133,10.6906,8.9772,9.2684
  Acsl1,10.0108,9.9169,9.968,10.2033,9.7361,9.5811,9.5894,9.792,9.7971,10.3373,10.4527,10.2637
  Acsl3,9.0128,8.7058,9.1391,8.8831,9.1132,9.1044,9.3691,9.2531,8.9214,8.962,10.9612,10.4481
  Acss1,11.6659,11.7912,11.718,12.0218,10.2434,10.2985,10.3422,10.3658,11.8872,12.0176,10.2598,10.4321
  Acta2,5.2314,4.8078,4.8778,5.429,5.3767,5.5694,4.9025,4.6074,4.8872,6.2932,4.7429,5.4551
  Actg1,14.1346,14.0083,14.0393,14.6111,13.9664,13.691,14.3776,14.4362,14.0501,14.2544,13.8955,14.1823
  Actg-ps1,3.8408,4.2261,4.1439,4.8961,4.5093,3.7499,4.1405,4.8811,4.3966,4.0231,2.8908,3.5012
  Actl6a,10.4562,10.3636,10.4969,10.2134,10.6912,10.6402,11.2443,11.3096,10.4343,10.4625,12.0124,11.5242
  Actl7a,4.3319,4.3949,4.2215,4.6792,5.0072,5.4497,5.0284,4.5299,4.4488,4.3671,6.2647,5.8907
  Actl7b,2,2,2.3153,3.0281,3.4202,4.7381,3.7598,3.9506,2.6614,2.9073,3.9438,2
  Actn1,10.3876,10.7645,10.8423,11.2661,10.7742,10.6572,10.3633,10.166,10.5832,10.3067,8.9706,9.9082
  Actr1a,11.3931,11.3584,11.3849,11.3383,11.0232,10.9594,11.4383,11.5387,11.4773,11.4429,11.9903,11.4544
  Actr3,14.0194,14.0466,14.2042,14.2074,13.7083,13.5918,14.0121,13.9445,14.2061,14.2197,14.7715,14.3407
  Actr3b,5.6941,5.9011,6.0769,6.3309,5.3767,5.4497,6,5.4422,6.3497,6.3407,5.4549,5.6547
  Actr6,8.3663,8.3148,8.5252,8.2566,8.3598,8.3122,8.5452,8.3552,8.5526,8.436,9.6725,8.9644
  Acvr1,4.5059,4.8854,4.925,5.429,4.8816,5.0162,4.3479,3.5411,4.5948,4.3671,3.2771,4.9472
  Acvr1b,9.9339,10.0535,9.9666,10.2365,9.6007,9.6128,9.785,10.0512,10.1803,10.1904,10.1353,9.9878
  Acvrl1,7.9692,7.8268,8.0491,8.1037,8.4175,8.0182,8.2284,8.1245,7.7216,7.7126,6.5541,7.6029
  Acy1,8.0801,8.1278,7.8618,8.0684,9.3089,9.2857,10.0398,10.0019,8.3239,8.2536,10.4062,10.3526
  Adam11,6.7796,6.9456,6.7621,7.4049,7.6326,8.295,7.1745,6.794,8.2596,7.4634,6.8951,7.9405
  Adam1b,3.2942,2.6607,2.9833,3.1682,4.4217,5.0981,3.241,3.374,2.8283,3.9432,3.5816,4.3415
  Adam23,9.2144,9.1919,9.4322,8.625,9.2402,9.2726,8.2086,8.157,9.1114,8.4287,8.2672,8.6966
  Adam30,3.0907,3.8143,3.1514,3.8051,7.6711,8.8265,6.4001,5.7113,3.4568,3.8586,6.6224,6.4696
